"","318-Control_A1","318-Control_A2","318-Control_A3","318-128-10_B1","318-128-10_B2","318-128-10_B3","318-130_C1","318-130_C2","318-130_C3","318-128-13_D1","318-128-13_D2","318-128-13_D3","358-Control_E1","358-Control_E2","358-Control_E3","358-128-10_F1","358-128-10_F2","358-128-10_F3","358-130_G1","358-130_G2","358-130_G3","358-128-13_H1","358-128-13_H2","358-128-13_H3"
"CD8+ naive T-cells",4.42078130350296e-20,2.68855634073927e-23,0,3.93365113639509e-20,3.09453542222717e-19,0,4.47443612824715e-22,6.79985809515003e-23,0.000117086080562084,1.67802679812803e-22,0,2.46134506650328e-20,3.86686936874115e-19,0,1.68387878734248e-19,1.61352777328406e-19,1.35365983607115e-19,3.13379844132387e-19,0,0,0,1.05685221577212e-21,0,0
"CD8+ T-cells",6.03104581571185e-20,0,0,0,0,0,0,5.37732541935949e-19,0,0,3.64880768776234e-19,5.08473523952005e-20,3.37877354197975e-20,4.94270629302203e-05,4.01879379327491e-20,0,0,0,0,5.71773855288494e-19,1.09281384337818e-19,0,0,0
"CD8+ Tcm",0,0.000379008188861568,1.10753317698563e-20,0,0,1.3924492633552e-19,0,0,5.41396861039577e-21,2.03383652868433e-19,3.27994598030734e-20,0,0,2.65689389918984e-19,1.40048749968024e-19,7.70651120473309e-20,0,1.37884160076096e-19,0.000179632617920386,0,0,0,6.64643960105596e-19,0
"CD8+ Tem",0,0,4.4179947186199e-19,0,7.08147813607679e-19,0,1.2946565983778e-19,1.44826037702778e-19,0,0,0,6.93411352311645e-20,1.95732699380271e-18,0,4.37330411454978e-19,6.33538321882797e-19,8.92667179376602e-19,0,4.44519935181291e-19,0,9.89791762785034e-19,4.51489275107988e-20,3.93567152938085e-18,0
"cDC",0.000758507689590158,0.0041192852969604,0,3.2521511829805e-20,0.00158202366389334,3.82310017874431e-05,0.0028024141919732,5.90515822150558e-05,0,0,0.00195015986908846,0.00108054339151013,0.00111174000237766,0.00079306350241924,0.00418320594477661,0.000994023873929249,0.00382816131535966,0.00133989891483932,0.000898386936845031,0.00159217468895339,0.00459608396027484,0.00382246237635017,0.00378516076249394,0.000568039880769101
"Chondrocytes",3.05267476824187e-20,9.97302923082627e-19,1.08101769463557e-19,0,2.44671032024796e-19,0,9.35868924083399e-19,6.22302233262015e-19,2.2091466800665e-18,3.30294253236381e-19,0,0,0,0,0,3.05526549133853e-20,0,0,0,0,0,0,4.10281801187682e-18,3.25520189400477e-19
"Class-switched memory B-cells",9.12246922821982e-06,0,0,0.000237385385161792,1.36604870553797e-19,2.83684082239185e-20,0,0,4.64677049593239e-19,2.91730612419358e-20,1.17723956310319e-21,2.64049393969933e-19,0.00394689380561003,0.00365034860481999,0.00360150681562835,0.00246138625139428,0.00287375379252863,0.00176922577266032,0.00400142887306038,0.00355579479471472,0.00344005245256171,0.0013748303111544,0.00273175874139974,0.00210142615040128
"CLP",0,0.000243227052310511,6.62336095238429e-20,0,0,0,0,3.15308224366344e-20,0,7.95041930169506e-05,0.00012484523849424,1.93308330235963e-22,0,0,1.25097055704779e-20,0,0,2.57199797749048e-21,0,1.4701256704062e-19,0,0,0,0
"CMP",7.0827735478143e-20,1.94054561411643e-20,0,2.42152785404499e-19,0,4.69426366719812e-20,2.02333761110071e-19,0,1.88985545884815e-19,1.58949011430362e-19,0.000383481358934768,0,0.000153839811222878,0,0.00047870521678909,9.04743129545231e-05,0.000919301468296295,0.000735503480162268,0.000583974723691626,0,0.00250996246275164,0.00142415484549489,6.48488215193613e-20,0.000781210724599764
"DC",0.000986594958454565,0.0021042390542858,4.06949109523154e-21,2.07948004581864e-20,0.00123483117943479,0.000150966375202425,0.0031143298571871,0,2.03553192766133e-20,0,0.00215989274546998,0.00162426972487781,0,0,0.0013962752779493,0,0.000386884077260107,6.53254633634589e-20,0,0,0.00111546404614752,0.000955014676549405,0,1.11525570905163e-20
"Endothelial cells",0.000229176369483259,5.49186522271495e-05,3.37372484074989e-05,0,0,0,0,1.58051673421806e-19,0,1.70020302686944e-21,0,0,0.00345548545330806,0.00289240752248689,0.00319030141316439,0.000961214565181363,0.000176745247357637,0.00160234520459469,0.000270925013458145,0.00118926506982498,0,0.000961064400476478,0,0
"Eosinophils",2.18660972677108e-20,0,2.94721560851303e-21,0,2.78658734202479e-20,0,4.85306758930655e-20,4.37546563942896e-19,0,0,0,0,1.9180949255799e-19,0,0,5.5987196409438e-19,6.5281643445361e-19,0,0,3.17199069468678e-19,0,0,8.98386830802878e-19,4.27634618266101e-19
"Epithelial cells",0.00028919676248317,0.000328188114339358,2.58983874007973e-05,7.51314436659208e-20,1.57482910201775e-20,3.90117466827296e-05,1.00656605117197e-20,1.64692193880227e-05,0,9.23583508825316e-05,1.3545155385003e-21,1.29050043453562e-19,0,5.74425198630892e-05,0,1.04729397933984e-22,0.000136860197642242,0,9.32597516066603e-05,0,0,5.96722698089728e-05,0,7.4358945732688e-05
"Erythrocytes",0,0,0,0,0,2.44707221621819e-19,1.24606105384028e-19,0,9.76553592485761e-20,3.33199036079849e-20,2.19801009388699e-21,4.24378088824703e-20,8.71197161201724e-20,8.01192450492629e-20,8.92807362078802e-21,3.53587752783223e-20,0,0,0,1.74966453347004e-19,8.98341863100975e-20,0,8.50249592531453e-19,1.37110318029549e-20
"Fibroblasts",2.4020481116719e-18,6.32048882354475e-20,1.30627321895504e-18,0,0,2.30488841158139e-18,0,0,0,1.19014097752919e-19,0,0,3.30215493121596e-18,0,2.14851361967077e-19,1.40271158472019e-18,1.90454870321425e-18,1.73420534954228e-18,0,3.84108364932131e-18,0,0,0,3.32231483025911e-19
"GMP",0,8.11328541265806e-20,0,3.16846051886509e-18,0,7.06207723436479e-19,0,0,9.76246589058582e-19,0,1.6629229934552e-20,3.42059336370816e-20,0,0,0,6.03824196191394e-19,9.81617773553011e-19,0.00016539059592347,0,9.16957904323628e-19,0,3.50350297727187e-19,0,0
"Hepatocytes",3.45154753756897e-19,0,6.13396418636973e-20,4.07911237149435e-20,4.27530350177997e-20,1.58748501763725e-19,1.97488955050459e-19,3.71232867531237e-19,0,9.56157127899266e-21,2.29645523575117e-19,0,0,2.6976339716798e-19,2.60274690312305e-19,0,3.93332257350323e-20,5.97944232115336e-19,8.53415335184902e-19,2.89158706823472e-19,0,6.21907300199951e-19,3.54662496418152e-19,9.34931953726515e-19
"HSC",0.00846970779194746,0.00971071904712427,0.00953607349299571,0.00894269248930874,0.0103717088775293,0.010877812071923,0.00915264850966284,0.00711769300864506,0.00897615353297417,0.00791521630612486,0.00795216790122908,0.00693624064404462,0,0,0,6.40534215452139e-20,1.05514638493842e-19,3.82689423773861e-05,0,0,0,0.000296147577143738,0,3.61569627839294e-19
"iDC",0.0164230015448703,0.0261679685844997,0,0,0.00875300360505295,0.00623973160009559,0.0240667464664095,0.00597778505088857,0.000277934096472574,0.00111932033907443,0.0136318886538655,0.0142998368423545,0,0,0.016256891684351,4.69562305160444e-19,0.00834662253685851,3.29376833788394e-19,1.57369160403714e-19,0,0.0103812433360247,0.0137488704080629,0.0103871551989987,3.74153515072371e-19
"Keratinocytes",0,0,0,0,1.42799531010798e-20,9.11376084266854e-21,0,1.32639277076496e-22,1.52555226529317e-21,1.38590457318407e-21,1.06223319327712e-21,0,0,6.63801286771222e-21,0,0,0,1.71078286032214e-20,4.22403735335996e-20,6.49394489114907e-21,9.8454518565567e-21,2.79165596886747e-21,5.24234823719099e-21,5.05459968232655e-21
"ly Endothelial cells",0,0,6.00065153233799e-05,0,3.04717467541623e-21,7.45714444459584e-21,7.7856011772024e-21,0,5.13041163940034e-20,3.45335866017359e-05,0,0,0,0,1.48944132432241e-20,0,0,2.44493184492987e-19,3.92562630781818e-19,1.15081191411143e-19,1.81028802661219e-20,0,2.88710374588509e-19,2.8328739111726e-19
"Macrophages",8.34414734600142e-20,0,0,1.07213838677654e-19,8.03879649660593e-21,3.19851509904995e-21,0,5.07265346701407e-20,3.26397168900366e-05,6.14711591569594e-21,9.56599679118151e-20,9.3007007600445e-20,1.07777572801158e-20,0,0,6.86045736262744e-22,0.000458372434462767,0,8.27756664573371e-22,7.94432553991279e-20,3.00458279133111e-05,0.000366075637439189,9.1925533054439e-21,1.95623739503581e-05
"Macrophages M1",0,1.67031901691287e-19,2.44971218668772e-20,0,3.98748749275455e-19,0,4.69511965421404e-20,0,8.06497652833553e-20,0,0,1.16660561858988e-19,6.33601559134711e-19,3.57928732021084e-19,5.91549722908342e-19,0,0,0,1.52933291151192e-19,0,1.89253127176946e-19,0,0,0
"Macrophages M2",0,4.06831417661931e-21,0,0.00187043329903387,0.000541878115659918,0.00211086877365829,0.00174458190803158,0.00203368652440835,0.000759483073325723,0.00299879192203709,0.00189291323776995,0.0014414696040092,2.43253081020706e-21,0,2.62692092598544e-06,0.00156260970855597,0.00162108451541885,0.00181962062688048,0.00040745900626465,0.00158759650592802,0.00155034148216626,0.00116903270276254,0.00163710365837328,0.00132531744015617
"Mast cells",2.19975151642601e-21,0,0,0.000196557563350538,0.000359043048565743,0.000519358574353289,0.000158055070990987,0.000214157786072733,0.000102776910901466,0.000352282384450514,3.08245754186391e-24,0.00020226821195176,0.00113586666071179,0.00144628349953845,0.00164132638745975,0.00128979628573681,0.00205290052937726,0.00228186127114738,0.00125929808504853,0.00169732406865905,0.00081044960961105,0.00148390884880244,0.00187388980616776,0.00181147304241044
"Megakaryocytes",0,0,1.40720945492069e-21,0,0,0,0,3.58985090142876e-21,1.272401243204e-05,5.9535812631926e-05,0,1.88482724704858e-21,0,0.000132302464254164,0,1.80440853144422e-05,1.10835004569431e-20,0,4.32895004022058e-22,0,0,0.000151178961247549,1.86380110270283e-19,1.10630077308355e-06
"Melanocytes",2.97691589279536e-05,7.96971111823876e-06,0,0.000222897681536657,0,0.000190320709054207,2.27372583782377e-05,9.58149518071298e-05,9.61887122065569e-23,0,6.60412942025924e-05,0,0.000178685458693167,0.000209972663681386,0.000255063470989071,0.000244820021094429,0.000290389451039433,0.000307874053006707,0.000243113457156603,0.00027916335394929,0.000367704630949132,0.00028094417230261,0.000441258601164673,0.000291680759862093
"Memory B-cells",0,2.15269349945976e-19,0,0,2.72542201018846e-19,3.54125099843224e-19,1.07784394963275e-19,4.85953528032653e-21,0,6.14438570624089e-19,4.45374859853458e-19,0,0,0,0,4.88974602768944e-05,0,0,3.62609748596768e-20,0,0,2.24780676008454e-19,4.65375075164216e-19,0.000346773662424046
"MEP",0.0065900360178215,0.00766272171280207,0.00886643672305395,0.00436835072546073,0.00589484545036746,0.00559644426079773,0.00653264420338874,0.00652507558819751,0.00664248935249583,0.00370933047374718,0.00474825694314875,0.00493618646989939,0.00211248192974285,0.00241571281768793,0.00208248490447046,0,0,0,0,8.21134625624176e-20,1.23449597520478e-18,1.28920157432264e-19,1.55567734849961e-19,1.49752342829627e-19
"Mesangial cells",0.00111391591982945,0.000239670888808061,0.00139737201873492,0.00131004411451626,0.000973636917638493,0.00136210335992195,0.000822583348388348,0.000238068587326824,0.000485888617937298,0.00206718000756841,9.57609803308308e-05,0.000254189487237568,0,3.50658910676267e-21,0,0,0,0,0,0,0,0,5.7875353664503e-19,0
"Monocytes",0,0,0,0,2.57613161904474e-18,3.95514330185998e-19,1.01590093664642e-18,7.27590418131039e-19,3.3717516168006e-20,4.26066218151158e-19,0,0,0,0,6.96972991644686e-19,1.0441383086579e-18,7.48654535397252e-20,5.25022755884619e-19,4.41474794566118e-20,8.11794463562377e-19,2.61564029058601e-19,0,2.51460092900705e-18,0
"MPP",0,0,1.72872400815399e-18,4.7704729623331e-19,0,0,5.90134213310933e-19,7.72123841913745e-19,7.18677438954015e-20,0,6.00730918729701e-19,1.74131520820726e-18,5.43520916830189e-20,6.93919934448539e-21,2.60834162373344e-19,1.35719234151258e-19,6.84423315058143e-19,0,0,2.47583415778771e-20,1.74507154763096e-19,0,1.68668726014506e-18,3.19901286658376e-19
"MSC",0.00445155999804859,0.00843278453210983,1.14080036795087e-18,0.00478255381599242,0,0.0121223082890534,0.0199357879198227,0.0203212751649786,0.0196534588686585,6.49008651742893e-19,0.0180785873248309,0.0286724189791583,0.0462537095472803,0.0168440562823128,0.0246397434981766,0.0597821776052899,0.0439350941338117,0.0351847299708504,0.0543094910246548,0.0400399619749393,0.0711066460812332,0.0468409339362916,0.07425130570335,0.0739655227590564
"mv Endothelial cells",6.8162632884975e-20,0,0,0,5.39023498865946e-20,0,0,6.91315998113256e-20,1.5983789981425e-19,0,0,5.80564514071627e-20,3.02599222474048e-19,0,0,0,0,0,0,7.05178084682555e-20,0,0,0,1.95198045532989e-18
"Myocytes",0.00242790045752459,0.000548120065378789,0.00145965162444229,0.000862825044068237,0.000185552645167103,0.000276539440415434,8.49581060432912e-05,0.000427542692263596,0.000641328810741882,0.000881889414680869,0,0.00039107405280066,8.14409194764536e-20,1.15693080360779e-19,9.62959810983484e-05,8.86581710276112e-20,1.31515893633511e-19,4.28788802958413e-20,4.22451421968234e-19,0,0,6.60086385007201e-20,0,3.39619505040109e-19
"naive B-cells",1.55899978281598e-20,2.45736180743452e-19,0,5.11831763643043e-19,1.65584550439164e-20,0,0,0,0,3.65689791124534e-19,2.42463661793473e-19,1.47788679419724e-19,0,0.00047656208801353,0,0.000307928138679604,0.000277057389036958,0.000486854933658037,0.000134120425937697,0,0.000518624561366988,0,6.4027220977187e-06,0.000575612397367584
"Neurons",6.0786329079555e-05,4.82836842726393e-05,6.50222349943792e-05,3.52213244500439e-05,2.49632883916864e-05,5.03100292889151e-05,4.65134534243314e-05,3.67990192805259e-05,5.66734047015837e-05,4.85459124813511e-05,3.94161297806046e-05,4.44141943772164e-05,1.74388888650413e-05,1.03616753439787e-05,8.28855076244454e-06,0,0,0,1.59334360738276e-06,0,0,3.04799618271799e-07,5.432789190582e-22,0
"Neutrophils",0,0,0,0,0,0,6.35009250360901e-21,4.90729937055578e-20,3.49274275246815e-19,0,2.44888625818549e-20,6.9840970648923e-20,0,0,0,1.78587617459962e-20,0,7.5836362409645e-21,1.31992318738243e-19,1.85741470683407e-19,4.21044909961438e-20,3.4640758629964e-20,0,1.56047232850878e-19
